Year,Nationality,Amount
2007,Russia,51687
2007,Other Eastern Europe,62888
2007,United States of America,138266
2007,Canada,40466
2007,Central America,22757
2007,South America,19241
2007,Australia,287103
2007,New Zealand,39635
2007,Other Oceania,17877
2007,south Africa,13888
2007,Other Africa,21599
2008,Brunei Darussalam,10536
2008,Malaysia,1009722
2008,Philippines,195675
2008,Singapore,1197267
2008,Thailand,66012
2008,Vietnamese,19710
2008,Myanmar,17487
2008,Other Asean,16300
2008,Hong Kong,58260
2008,India,155391
2008,Japan,559888
2008,South Korea,331409
2008,Pakistan,7273
2008,Bangladesh,6155
2008,Sri Lanka,6774
2008,Taiwan,218146
2008,China,354641
2008,Other Asia,189253
2008,Saudi Arabia,42647
2008,Bahrain,891
2008,Kuwait,2160
2008,Egypt,3744
2008,United Arab Emirates,2960
2008,Yemen,3831
2008,Qatar,1155
2008,Other Middle East,16003
2008,Austria,16855
2008,Belgium,22854
2008,Denmark,18434
2008,France,129446
2008,German,142767
2008,Italy,40006
2008,Dutch,141202
2008,Spanish,30278
2008,Portugal,11368
2008,Sweden,21806
2008,Switzerland,34024
2008,English,184604
2008,Finland,9819
2008,Norway,16468
2008,Other Western Europe,22956
2008,Russia,74483
2008,Other Eastern Europe,72484
2008,United States of America,174547
2008,Canada,45408
2008,Central America,9618
2008,South America,20395
2008,Australia,418899
2008,New Zealand,36291
2008,Other Oceania,13114
2008,south Africa,14958
2008,Other Africa,18123
2009,Brunei Darussalam,13668
2009,Malaysia,1041053
2009,Philippines,196429
2009,Singapore,1138071
2009,Thailand,93381
2009,Vietnamese,20785
2009,Myanmar,18128
2009,Other Asean,90861
2009,Hong Kong,63801
2009,India,156545
2009,Japan,488320
2009,South Korea,260314
2009,Pakistan,5880
2009,Bangladesh,6347
2009,Sri Lanka,6715
2009,Taiwan,204794
2009,China,444598
2009,Other Asia,55034
2009,Saudi Arabia,73000
2009,Bahrain,746
2009,Kuwait,5875
2009,Egypt,3316
2009,United Arab Emirates,3871
2009,Yemen,3522
2009,Qatar,6579
2009,Other Middle East,17026
2009,Austria,17399
2009,Belgium,25781
2009,Denmark,20062
2009,France,165656
2009,German,133032
2009,Italy,38028
2009,Dutch,154932
2009,Spanish,28200
2009,Portugal,11331
2009,Sweden,22166
2009,Switzerland,39510
2009,English,183262
2009,Finland,15591
2009,Norway,16261
2009,Other Western Europe,12243
2009,Russia,77018
2009,Other Eastern Europe,67933
2009,United States of America,165098
2009,Canada,43948
2009,Central America,4587
2009,South America,24037
2009,Australia,571541
2009,New Zealand,37704
2009,Other Oceania,3114
2009,south Africa,12999
2009,Other Africa,13638
2010,Brunei Darussalam,35874
2010,Malaysia,1171737
2010,Philippines,171181
2010,Singapore,1206360
2010,Thailand,111645
2010,Vietnamese,24929
2010,Myanmar,15582
2010,Other Asean,221668
2010,Hong Kong,73658
2010,India,159373
2010,Japan,416151
2010,South Korea,296060
2010,Pakistan,5772
2010,Bangladesh,5557
2010,Sri Lanka,6195
2010,Taiwan,214192
2010,China,511188
2010,Other Asia,60410
2010,Saudi Arabia,94440
2010,Bahrain,832
2010,Kuwait,2729
2010,Egypt,3650
2010,United Arab Emirates,4970
2010,Yemen,5597
2010,Qatar,5076
2010,Other Middle East,25708
2010,Austria,16889
2010,Belgium,24493
2010,Denmark,17565
2010,France,160913
2010,German,144411
2010,Italy,39211
2010,Dutch,158957
2010,Spanish,30574
2010,Portugal,11629
2010,Sweden,24603
2010,Switzerland,35334
2010,English,192335
2010,Finland,11566
2010,Norway,16226
2010,Other Western Europe,18020
2010,Russia,83836
2010,Other Eastern Europe,61981
2010,United States of America,177677
2010,Canada,48349
2010,Central America,881
2010,South America,21364
2010,Australia,769585
2010,New Zealand,45335
2010,Other Oceania,4890
2010,south Africa,14287
2010,Other Africa,14305
2011,Brunei Darussalam,38679
2011,Malaysia,1173351
2011,Philippines,210029
2011,Singapore,1324839
2011,Thailand,115036
2011,Vietnamese,31106
2011,Myanmar,22304
2011,Other Asean,216474
2011,Hong Kong,84985
2011,India,181791
2011,Japan,423113
2011,South Korea,320596
2011,Pakistan,6598
2011,Bangladesh,6394
2011,Sri Lanka,7019
2011,Taiwan,228922
2011,China,594997
2011,Other Asia,71742
2011,Saudi Arabia,110908
2011,Bahrain,879
2011,Kuwait,4164
2011,Egypt,4469
2011,United Arab Emirates,4720
2011,Yemen,6729
2011,Qatar,4501
2011,Other Middle East,27127
2011,Austria,17374
2011,Belgium,24579
2011,Denmark,19950
2011,France,171736
2011,German,149110
2011,Italy,42256
2011,Dutch,163268
2011,Spanish,30657
2011,Portugal,13661
2011,Sweden,26504
2011,Switzerland,38704
2011,English,201221
2011,Finland,13137
2011,Norway,17803
2011,Other Western Europe,16553
2011,Russia,96438
2011,Other Eastern Europe,67920
2011,United States of America,203205
2011,Canada,57129
2011,Central America,1044
2011,South America,26193
2011,Australia,933376
2011,New Zealand,52458
2011,Other Oceania,6597
2011,south Africa,16282
2011,Other Africa,15369
2012,Brunei Darussalam,38679
2012,Malaysia,1173351
2012,Philippines,210029
2012,Singapore,1324839
2012,Thailand,115036
2012,Vietnamese,31106
2012,Myanmar,22304
2012,Other Asean,216474
2012,Hong Kong,84985
2012,India,181791
2012,Japan,423113
2012,South Korea,320596
2012,Pakistan,6598
2012,Bangladesh,6394
2012,Sri Lanka,7019
2012,Taiwan,228922
2012,China,594997
2012,Other Asia,71742
2012,Saudi Arabia,110908
2012,Bahrain,879
2012,Kuwait,4164
2012,Egypt,4469
2012,United Arab Emirates,4720
2012,Yemen,6729
2012,Qatar,4501
2012,Other Middle East,27127
2012,Austria,17374
2012,Belgium,24579
2012,Denmark,19950
2012,France,171736
2012,German,149110
2012,Italy,42256
2012,Dutch,163268
2012,Spanish,30657
2012,Portugal,13661
2012,Sweden,26504
2012,Switzerland,38704
2012,English,201221
2012,Finland,13137
2012,Norway,17803
2012,Other Western Europe,16553
2012,Russia,96438
2012,Other Eastern Europe,67920
2012,United States of America,203205
2012,Canada,57129
2012,Central America,1044
2012,South America,26193
2012,Australia,933376
2012,New Zealand,52458
2012,Other Oceania,6597
2012,south Africa,16282
2012,Other Africa,15369
2013,Brunei Darussalam,16932
2013,Malaysia,1380686
2013,Philippines,247573
2013,Singapore,1432060
2013,Thailand,125059
2013,Vietnamese,43249
2013,Myanmar,31001
2013,Other Asean,213602
2013,Hong Kong,95258
2013,India,231266
2013,Japan,497399
2013,South Korea,351154
2013,Pakistan,6281
2013,Bangladesh,8132
2013,Sri Lanka,8288
2013,Taiwan,247146
2013,China,858140
2013,Other Asia,93490
2013,Saudi Arabia,121890
2013,Bahrain,1176
2013,Kuwait,7919
2013,Egypt,8091
2013,United Arab Emirates,9891
2013,Yemen,6851
2013,Qatar,1332
2013,Other Middle East,30289
2013,Austria,21645
2013,Belgium,34414
2013,Denmark,22890
2013,France,201917
2013,German,173470
2013,Italy,56705
2013,Dutch,161402
2013,Spanish,39383
2013,Portugal,18194
2013,Sweden,29281
2013,Switzerland,43906
2013,English,236794
2013,Finland,15074
2013,Norway,18174
2013,Other Western Europe,23392
2013,Russia,99872
2013,Other Eastern Europe,88584
2013,United States of America,236375
2013,Canada,65385
2013,Central America,1533
2013,South America,32752
2013,Australia,983911
2013,New Zealand,67852
2013,Other Oceania,4934
2013,south Africa,16928
2013,Other Africa,25679
2014,Brunei Darussalam,19078
2014,Malaysia,1418256
2014,Philippines,248182
2014,Singapore,1559044
2014,Thailand,114272
2014,Vietnamese,48018
2014,Myanmar,33559
2014,Other Asean,195201
2014,Hong Kong,94560
2014,India,267082
2014,Japan,505175
2014,South Korea,352004
2014,Pakistan,7057
2014,Bangladesh,13891
2014,Sri Lanka,8760
2014,Taiwan,220328
2014,China,1052705
2014,Other Asia,87911
2014,Saudi Arabia,151454
2014,Bahrain,1608
2014,Kuwait,9281
2014,Egypt,10695
2014,United Arab Emirates,12054
2014,Yemen,7863
2014,Qatar,1648
2014,Other Middle East,21710
2014,Austria,20599
2014,Belgium,33601
2014,Denmark,22577
2014,France,208537
2014,German,184463
2014,Italy,62265
2014,Dutch,168494
2014,Spanish,47376
2014,Portugal,17675
2014,Sweden,32308
2014,Switzerland,45567
2014,English,244594
2014,Finland,15332
2014,Norway,17253
2014,Other Western Europe,25867
2014,Russia,94345
2014,Other Eastern Europe,96699
2014,United States of America,246397
2014,Canada,68432
2014,Central America,1835
2014,South America,36547
2014,Australia,1145576
2014,New Zealand,79380
2014,Other Oceania,5011
2014,south Africa,17375
2014,Other Africa,27901
2015,Brunei Darussalam,18262
2015,Malaysia,1431728
2015,Philippines,267700
2015,Singapore,1594102
2015,Thailand,118579
2015,Vietnamese,49845
2015,Myanmar,39923
2015,Other Asean,274302
2015,Hong Kong,93529
2015,India,306960
2015,Japan,528606
2015,South Korea,375586
2015,Pakistan,7570
2015,Bangladesh,15790
2015,Sri Lanka,11190
2015,Taiwan,223478
2015,China,1249091
2015,Other Asia,123194
2015,Saudi Arabia,164643
2015,Bahrain,1685
2015,Kuwait,8306
2015,Egypt,12972
2015,United Arab Emirates,10315
2015,Yemen,8715
2015,Qatar,1595
2015,Other Middle East,29330
2015,Austria,22458
2015,Belgium,38193
2015,Denmark,27692
2015,France,208679
2015,German,201202
2015,Italy,67892
2015,Dutch,172371
2015,Spanish,53115
2015,Portugal,22032
2015,Sweden,37555
2015,Switzerland,51685
2015,English,286806
2015,Finland,18564
2015,Norway,18526
2015,Other Western Europe,28053
2015,Russia,72302
2015,Other Eastern Europe,112340
2015,United States of America,269062
2015,Canada,74212
2015,Central America,3028
2015,South America,43750
2015,Australia,1090025
2015,New Zealand,86609
2015,Other Oceania,190302
2015,south Africa,22482
2015,Other Africa,32963
2016,Brunei Darussalam,23695
2016,Malaysia,1541197
2016,Philippines,298910
2016,Singapore,1515699
2016,Thailand,124569
2016,Vietnamese,60986
2016,Myanmar,44720
2016,Other Asean,207727
2016,Hong Kong,101369
2016,India,422045
2016,Japan,545392
2016,South Korea,386789
2016,Pakistan,10100
2016,Bangladesh,39028
2016,Sri Lanka,24258
2016,Taiwan,252849
2016,China,1556771
2016,Other Asia,180544
2016,Saudi Arabia,197681
2016,Bahrain,2243
2016,Kuwait,6368
2016,Egypt,19948
2016,United Arab Emirates,9016
2016,Yemen,9478
2016,Qatar,1856
2016,Other Middle East,45810
2016,Austria,24375
2016,Belgium,43607
2016,Denmark,36380
2016,France,256229
2016,German,243873
2016,Italy,79424
2016,Dutch,200811
2016,Spanish,68840
2016,Portugal,29286
2016,Sweden,45934
2016,Switzerland,56700
2016,English,352017
2016,Finland,21031
2016,Norway,19478
2016,Other Western Europe,35324
2016,Russia,88520
2016,Other Eastern Europe,165316
2016,United States of America,316782
2016,Canada,86807
2016,Central America,2538
2016,South America,55256
2016,Australia,1302292
2016,New Zealand,105393
2016,Other Oceania,164240
2016,south Africa,29223
2016,Other Africa,45955
2017,Brunei Darussalam,23455
2017,Malaysia,2121888
2017,Philippines,308977
2017,Singapore,1554119
2017,Thailand,138235
2017,Vietnamese,77466
2017,Myanmar,48133
2017,Other Asean,252373
2017,Hong Kong,98272
2017,India,536902
2017,Japan,573310
2017,South Korea,423191
2017,Pakistan,11424
2017,Bangladesh,56503
2017,Sri Lanka,35669
2017,Taiwan,264278
2017,China,2093171
2017,Other Asia,67659
2017,Saudi Arabia,182086
2017,Bahrain,2457
2017,Kuwait,5760
2017,Egypt,20345
2017,United Arab Emirates,8387
2017,Yemen,8453
2017,Qatar,1859
2017,Other Middle East,55022
2017,Austria,27208
2017,Belgium,48477
2017,Denmark,43721
2017,France,274117
2017,German,267823
2017,Italy,90022
2017,Dutch,210426
2017,Spanish,81690
2017,Portugal,33223
2017,Sweden,51417
2017,Switzerland,61191
2017,English,378131
2017,Finland,24447
2017,Norway,22838
2017,Other Western Europe,40211
2017,Russia,117532
2017,Other Eastern Europe,201741
2017,United States of America,344766
2017,Canada,96139
2017,Central America,7542
2017,South America,71915
2017,Australia,1256927
2017,New Zealand,106914
2017,Other Oceania,2794
2017,south Africa,38073
2017,Other Africa,53126
2018,Brunei Darussalam,17279
2018,Malaysia,2503344
2018,Philippines,217874
2018,Singapore,1768744
2018,Thailand,124153
2018,Vietnamese,75816
2018,Myanmar,28612
2018,Other Asean,717508
2018,Hong Kong,91182
2018,India,595636
2018,Japan,530573
2018,South Korea,358885
2018,Pakistan,13448
2018,Bangladesh,56564
2018,Sri Lanka,32508
2018,Taiwan,208317
2018,China,2139161
2018,Other Asia,58625
2018,Saudi Arabia,165912
2018,Bahrain,2324
2018,Kuwait,5551
2018,Egypt,18075
2018,United Arab Emirates,7100
2018,Yemen,10008
2018,Qatar,2104
2018,Other Middle East,55949
2018,Austria,29492
2018,Belgium,50050
2018,Denmark,46825
2018,France,287917
2018,German,274166
2018,Italy,94288
2018,Dutch,209978
2018,Spanish,85560
2018,Portugal,36804
2018,Sweden,50381
2018,Switzerland,60293
2018,English,392112
2018,Finland,27127
2018,Norway,24906
2018,Other Western Europe,35203
2018,Russia,125728
2018,Other Eastern Europe,180081
2018,United States of America,387856
2018,Canada,97908
2018,Central America,2629
2018,South America,62868
2018,Australia,1301478
2018,New Zealand,128366
2018,Other Oceania,2064
2018,south Africa,41962
2018,Other Africa,46804
2019,Brunei Darussalam,19278
2019,Malaysia,2980753
2019,Philippines,260980
2019,Singapore,1934445
2019,Thailand,136699
2019,Vietnamese,96024
2019,Myanmar,46381
2019,Other Asean,682630
2019,Hong Kong,50324
2019,India,657300
2019,Japan,519623
2019,South Korea,388316
2019,Pakistan,14663
2019,Bangladesh,59777
2019,Sri Lanka,28907
2019,Taiwan,207490
2019,China,2072079
2019,Other Asia,68062
2019,Saudi Arabia,157512
2019,Bahrain,2631
2019,Kuwait,5762
2019,Egypt,21354
2019,United Arab Emirates,9065
2019,Yemen,9221
2019,Qatar,1989
2019,Other Middle East,56389
2019,Austria,28476
2019,Belgium,46780
2019,Denmark,45090
2019,France,283814
2019,German,277653
2019,Italy,91229
2019,Dutch,215287
2019,Spanish,83373
2019,Portugal,35434
2019,Sweden,56402
2019,Switzerland,57484
2019,English,397624
2019,Finland,22665
2019,Norway,23886
2019,Other Western Europe,35272
2019,Russia,158943
2019,Other Eastern Europe,216452
2019,United States of America,457832
2019,Canada,103616
2019,Central America,2786
2019,South America,65630
2019,Australia,1386803
2019,New Zealand,149010
2019,Other Oceania,2987
2019,south Africa,47657
2019,Other Africa,51262
